label,ss
in vitro acetylation assay evidence,[http://purl.obolibrary.org/obo/ECO_0001057]
cell-free assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007563]
documented statement evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006156]
gel-filtration evidence,[http://purl.obolibrary.org/obo/ECO_0001049]
array-based sequence capture evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007305]
biological aspect of descendant evidence,[http://purl.obolibrary.org/obo/ECO_0000214]
coding sequence splice pattern evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000330]
Cya fusion reporter assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006002]
chromatin immunoprecipitation-seq evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006009]
immuno-labelling electron microscopy evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007565]
environmental perturbation phenotypic evidence,[http://purl.obolibrary.org/obo/ECO_0000241]
motility wound healing assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001233]
pulsed-field gel electrophoresis evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007252]
similarity evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0000251]
peptide array evidence,[http://purl.obolibrary.org/obo/ECO_0001112]
high throughput mass spectrometry evidence,[http://purl.obolibrary.org/obo/ECO_0005585]
copper-phenanthroline footprinting evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007504]
cell counting evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001157]
beta-glucuronidase reporter gene assay evidence,[http://purl.obolibrary.org/obo/ECO_0001804]
spatial pattern of transcript expression evidence,[http://purl.obolibrary.org/obo/ECO_0000047]
functional complementation in heterologous system evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007584]
cell-detached outside-out single-channel recording evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007180]
cytochrome C release assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001173]
translocation mutation phenotypic evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007168]
medical practitioner statement evidence,[http://purl.obolibrary.org/obo/ECO_0006152]
interferometric reflectance imaging sensor evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005645]
knockout phenotypic evidence,[http://purl.obolibrary.org/obo/ECO_0001091]
DNA detection assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007737]
immunofluorescence super resolution microscopy evidence,[http://purl.obolibrary.org/obo/ECO_0006072]
far-Western blotting evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007570]
high throughput evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006056]
mRNA interactome capture evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006011]
454 pyrosequencing evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007230]
window current trace evidence,[http://purl.obolibrary.org/obo/ECO_0005569]
automatically integrated combinatorial evidence,[http://purl.obolibrary.org/obo/ECO_0007673]
physical interaction evidence,[http://purl.obolibrary.org/obo/ECO_0000021]
curator inference from encyclopedia,[http://purl.obolibrary.org/obo/ECO_0007637]
differential interference contrast microscopy evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007056]
in vivo desumoylation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001212]
protein separation evidence,[http://purl.obolibrary.org/obo/ECO_0000156]
deletion mutation phenotypic evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001175]
co-electrophoresis evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001162]
ribohomopolymer binding assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006084]
Cya fusion reporter assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007532]
circular dichroism evidence,[http://purl.obolibrary.org/obo/ECO_0006177]
defarnesylation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007710]
fusion protein localization evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007726]
DNA adenine methyltransferase identification evidence,[http://purl.obolibrary.org/obo/ECO_0001824]
phosphatase assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007694]
protein separation evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007787]
RNA-protein binding evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006322]
cytotoxicity assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007702]
genetically encoded fluorescent ion concentration sensor assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007551]
particle scattering evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006212]
methylation-specific polymerase chain reaction evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007204]
colony diameter phenotype evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0001572]
protein sequencing assay evidence,[http://purl.obolibrary.org/obo/ECO_0001118]
xylE reporter gene assay evidence,[http://purl.obolibrary.org/obo/ECO_0005537]
ubiquitination assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007801]
recessive mutant phenotype evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006101]
cleavage assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007691]
inference of sequence features from visual inspection used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001828]
tryptic phosphopeptide mapping assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001265]
cleavage arrested development evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007730]
hydroxyl-radical footprinting evidence,[http://purl.obolibrary.org/obo/ECO_0001818]
in vitro deacetylation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001192]
northern blot evidence,[http://purl.obolibrary.org/obo/ECO_0000106]
voltammetry evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007594]
field potential recording evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007555]
enzyme inhibition evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007227]
developmental similarity evidence,[http://purl.obolibrary.org/obo/ECO_0000067]
knockout evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007370]
genetically encoded fluorescent sensor evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006037]
phylogenetic footprinting evidence,[http://purl.obolibrary.org/obo/ECO_0005533]
curator inference from dictionary,[http://purl.obolibrary.org/obo/ECO_0007641]
electron microscopy evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007493]
clinical study evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007225]
curator inference from Wikipedia,[http://purl.obolibrary.org/obo/ECO_0007638]
GAL4-VP16 functional complementation evidence,[http://purl.obolibrary.org/obo/ECO_0006258]
protein unfolding evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006312]
systematic evolution of ligands by exponential amplification evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007510]
expression library screen evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007310]
curator inference from journal publication,[http://purl.obolibrary.org/obo/ECO_0007645]
genetically encoded fluorescent electrophysiology assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007550]
restriction fragment detection evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001257]
sodium dodecyl sulfate polyacrylamide gel electrophoresis evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007770]
self-reported patient statement evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006160]
structural similarity evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007194]
automatically integrated combinatorial experimental evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007659]
genetic interaction evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007326]
two-dimensional polyacrylamide gel electrophoresis evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005614]
in situ hybridization evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001838]
microscale thermophoresis evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006303]
sustained current evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007172]
plasmid maintenance assay evidence,[http://purl.obolibrary.org/obo/ECO_0000340]
genomic context evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007327]
protein inhibition evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007707]
histochemistry evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007376]
co-purification evidence,[http://purl.obolibrary.org/obo/ECO_0000022]
bacterial 2-hybrid assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007074]
reconstitution assay evidence,[http://purl.obolibrary.org/obo/ECO_0000003]
sequence similarity evidence,[http://purl.obolibrary.org/obo/ECO_0000044]
gel-filtration evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007388]
extended field laser confocal microscopy evidence,[http://purl.obolibrary.org/obo/ECO_0007057]
Fourier-transform infrared spectroscopy evidence,[http://purl.obolibrary.org/obo/ECO_0006191]
nonsense mutation phenotypic evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007265]
cytochalasin experiment evidence,[http://purl.obolibrary.org/obo/ECO_0000299]
current density evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007275]
temperature-induced protein unfolding evidence,[http://purl.obolibrary.org/obo/ECO_0006268]
curator inference from database used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007759]
cell permeability assay evidence,[http://purl.obolibrary.org/obo/ECO_0001021]
chemiluminescence-linked immunoassay evidence,[http://purl.obolibrary.org/obo/ECO_0001023]
green fluorescent protein immunolocalization evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007246]
nuclear fragmentation evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001239]
blocking peptide evidence,[http://purl.obolibrary.org/obo/ECO_0001014]
carboxyfluorescein diacetate succinimidyl ester staining evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001159]
cryogenic electron microscopy-based structural model with high relative B-factor values,[http://purl.obolibrary.org/obo/ECO_0006190]
DNA synthesis cell proliferation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007697]
immuno-labelling electron microscopy evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006071]
in vivo acetylation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001207]
colony biofilm assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007544]
sequencing assay evidence,[http://purl.obolibrary.org/obo/ECO_0000220]
direct hemagglutination assay evidence,[http://purl.obolibrary.org/obo/ECO_0007027]
3C evidence,[http://purl.obolibrary.org/obo/ECO_0000233]
MTT assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001235]
far-UV circular dichroism evidence,[http://purl.obolibrary.org/obo/ECO_0006179]
machine learning prediction of motif instance evidence,[http://purl.obolibrary.org/obo/ECO_0005535]
phylogenetic footprinting evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0005655]
Kadouri drip-fed biofilm assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007545]
immunogold labelling electron microscopy assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005592]
high throughput nucleotide sequencing assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007734]
phenotypic similarity evidence,[http://purl.obolibrary.org/obo/ECO_0000057]
spectrophotometry evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001258]
spectrometry evidence,[http://purl.obolibrary.org/obo/ECO_0005504]
structure determination evidence,[http://purl.obolibrary.org/obo/ECO_0005031]
ion trap mass spectrometry evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0001587]
in vivo polyADP-ribosylation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007476]
neutralization test assay evidence,[http://purl.obolibrary.org/obo/ECO_0007033]
cell fractionation evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006042]
cytochemistry evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007375]
yeast 2-hybrid evidence,[http://purl.obolibrary.org/obo/ECO_0000068]
cell counting evidence,[http://purl.obolibrary.org/obo/ECO_0001020]
immunodetection assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007719]
SOLiD sequencing evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007127]
pH-induced protein unfolding evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006316]
in vivo phosphatase assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007420]
tethered cell assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007186]
fusion protein localization evidence,[http://purl.obolibrary.org/obo/ECO_0000124]
immunofluorescence wide-field microscopy evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007560]
nonsense mutation phenotypic evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007161]
X-ray crystallography-based structural model with missing residue coordinates,[http://purl.obolibrary.org/obo/ECO_0006187]
protein separation followed by fragment identification evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007217]
protein detection assay evidence,[http://purl.obolibrary.org/obo/ECO_0005517]
immunodetection assay evidence,[http://purl.obolibrary.org/obo/ECO_0005593]
frameshift mutation phenotypic evidence,[http://purl.obolibrary.org/obo/ECO_0005512]
missense mutation phenotypic evidence,[http://purl.obolibrary.org/obo/ECO_0005506]
experimental phenotypic evidence,[http://purl.obolibrary.org/obo/ECO_0000059]
curator inference from journal publication used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007758]
author statement used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000302]
bait-prey hybrid interaction evidence,[http://purl.obolibrary.org/obo/ECO_0000025]
animal model system study evidence,[http://purl.obolibrary.org/obo/ECO_0000179]
sequence alignment evidence,[http://purl.obolibrary.org/obo/ECO_0000200]
biological system reconstruction evidence by experimental evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007747]
imported automatically asserted information used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0000323]
gene expression similarity evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007203]
quantitative mass spectrometry evidence,[http://purl.obolibrary.org/obo/ECO_0001119]
epistatic interaction phenotypic evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007583]
split-ubiquitin functional complementation evidence,[http://purl.obolibrary.org/obo/ECO_0000074]
transcriptional activation assay evidence,[http://purl.obolibrary.org/obo/ECO_0000170]
protein fragment functional complementation evidence,[http://purl.obolibrary.org/obo/ECO_0006256]
454 pyrosequencing evidence,[http://purl.obolibrary.org/obo/ECO_0000223]
self-reported patient statement evidence,[http://purl.obolibrary.org/obo/ECO_0006154]
matrix-assisted laser desorption/ionization time-of-flight mass spectrometry evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005527]
blood test evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001153]
particle scattering evidence,[http://purl.obolibrary.org/obo/ECO_0006183]
spectrophotometry evidence,[http://purl.obolibrary.org/obo/ECO_0001126]
X-ray crystallography-based structural model with missing residue coordinates used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006221]
repeat expansion mutation phenotypic evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007270]
knockout evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001225]
ribohomopolymer binding assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007572]
chloramphenicol acetyltransferase reporter gene assay evidence,[http://purl.obolibrary.org/obo/ECO_0001803]
affinity chromatography evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006082]
direct Coombs test evidence,[http://purl.obolibrary.org/obo/ECO_0007023]
spectrometry evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007821]
radioligand binding assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007009]
microscale thermophoresis evidence,[http://purl.obolibrary.org/obo/ECO_0006261]
immunogold labelling evidence,[http://purl.obolibrary.org/obo/ECO_0000090]
protein separation followed by direct sequencing evidence,[http://purl.obolibrary.org/obo/ECO_0000158]
nuclear magnetic resonance spectroscopy-based hydrogen-deuterium exchange evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006196]
obsolete bait-prey protein pull-down evidence,[http://purl.obolibrary.org/obo/ECO_0006249]
steady state activation curve evidence,[http://purl.obolibrary.org/obo/ECO_0005567]
DNA affinity chromatography evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007506]
infection assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0001834]
mixed support of intron positions by RNA-sequencing alignment evidence,[http://purl.obolibrary.org/obo/ECO_0006172]
mRNA interactome capture evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007536]
cleavage arrested development evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007811]
author statement from published clinical study used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007539]
fluorescence quantification assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007849]
BLAST evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0000209]
primer extension assay evidence,[http://purl.obolibrary.org/obo/ECO_0001819]
flow cytometry evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005580]
cryogenic electron microscopy-based structural model with high relative B-factor values used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006226]
curator inference from book used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007838]
immunocytochemistry evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007390]
methylation-specific polymerase chain reaction evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007100]
protein microarray evidence,[http://purl.obolibrary.org/obo/ECO_0001117]
phylogenetic determination of loss of key residues evidence,[http://purl.obolibrary.org/obo/ECO_0000216]
nucleotide BLAST evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0000210]
reverse transcription polymerase chain reaction evidence,[http://purl.obolibrary.org/obo/ECO_0000109]
direct Coombs test evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007598]
genetically encoded fluorescent sensor evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007549]
liquid chromatography coupled with tandem mass spectrometry evidence,[http://purl.obolibrary.org/obo/ECO_0001580]
Boyden chamber assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001154]
protein sequencing assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001252]
phosphatase assay evidence,[http://purl.obolibrary.org/obo/ECO_0001556]
author inference used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006217]
primer extension assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007520]
electrophysiology assay evidence,[http://purl.obolibrary.org/obo/ECO_0000164]
biological system reconstruction evidence based on homology evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007482]
galactokinase reporter gene assay evidence,[http://purl.obolibrary.org/obo/ECO_0006238]
biological system reconstruction evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007827]
gene expression similarity evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007099]
phage display evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001242]
in vivo acetylation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007410]
transport assay evidence,[http://purl.obolibrary.org/obo/ECO_0000134]
in vitro deacetylation assay evidence,[http://purl.obolibrary.org/obo/ECO_0001060]
evidence based on logical inference from manual annotation used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0000364]
computational evidence,[http://purl.obolibrary.org/obo/ECO_0007672]
sequence orthology evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000266]
quantitative trait analysis evidence,[http://purl.obolibrary.org/obo/ECO_0000061]
RNA dot blot assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001177]
7-aminoactinomycin staining evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001140]
animal model system study evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007120]
computationally derived logical inference,[http://purl.obolibrary.org/obo/ECO_0005538]
protein expression evidence,[http://purl.obolibrary.org/obo/ECO_0000010]
copper-phenanthroline footprinting evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005626]
4C evidence,[http://purl.obolibrary.org/obo/ECO_0000234]
in vitro acetylation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001190]
cell aggregation evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006319]
single-cell RNA-sequencing evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001570]
cell counting evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007356]
dynamic light scattering assay evidence,[http://purl.obolibrary.org/obo/ECO_0007063]
synchrotron radiation circular dichroism evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006203]
chromatin immunoprecipitation evidence,[http://purl.obolibrary.org/obo/ECO_0000226]
knockin evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007368]
computational combinatorial evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0000246]
DNAse footprinting evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005631]
yellow fluorescent protein fusion protein localization evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007211]
phylogenetic distribution evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007153]
immunofluorescence confocal microscopy evidence,[http://purl.obolibrary.org/obo/ECO_0005600]
genetic similarity evidence,[http://purl.obolibrary.org/obo/ECO_0000051]
small molecule detection assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007740]
temperature-sensitive mutant phenotypic evidence,[http://purl.obolibrary.org/obo/ECO_0006098]
slide agglutination test evidence,[http://purl.obolibrary.org/obo/ECO_0007021]
cross-streak test evidence,[http://purl.obolibrary.org/obo/ECO_0005604]
immuno-labelling electron microscopy evidence,[http://purl.obolibrary.org/obo/ECO_0006070]
crystallography evidence,[http://purl.obolibrary.org/obo/ECO_0001034]
colorimetric in situ hybridization evidence,[http://purl.obolibrary.org/obo/ECO_0001839]
affinity chromatography evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007571]
two-electrode voltage clamp recording evidence,[http://purl.obolibrary.org/obo/ECO_0000166]
nucleic acid binding evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006083]
crystallography evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001171]
in vivo translation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001221]
single-cell RNA-sequencing evidence,[http://purl.obolibrary.org/obo/ECO_0001560]
ribosome profiling evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007088]
extracellular recording evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007553]
plasmid maintenance assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007254]
quantum mechanics simulation evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006143]
combinatorial experimental and curator inference evidence,[http://purl.obolibrary.org/obo/ECO_0007012]
immunodetection assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007796]
curator inference from MedlinePlus dictionary,[http://purl.obolibrary.org/obo/ECO_0007644]
curator inference from encyclopedia used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007834]
immunolocalization evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007486]
3C-qPCR evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007237]
manually integrated combinatorial computational evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007650]
high throughput cell biology evidence,[http://purl.obolibrary.org/obo/ECO_0006058]
capillary assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007188]
suppressor/enhancer interaction phenotypic evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006094]
DNA adenine methyltransferase identification evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005627]
biological system reconstruction evidence by experimental evidence from single species used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007479]
mass spectrometry evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001230]
electron paramagnetic resonance evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006288]
differential hybridization evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000287]
cell permeability assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007357]
ferric uptake regulator titration assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007509]
radioisotope assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001254]
inference from experimental data evidence,[http://purl.obolibrary.org/obo/ECO_0005611]
computational inference used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007631]
transcript splice pattern evidence,[http://purl.obolibrary.org/obo/ECO_0000326]
polyADP-ribosylation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007797]
genetic transformation evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007427]
annexin-V staining evidence,[http://purl.obolibrary.org/obo/ECO_0001011]
protein unfolding evidence,[http://purl.obolibrary.org/obo/ECO_0006265]
computational evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007668]
qualitative western immunoblotting evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007306]
colony morphology phenotypic evidence,[http://purl.obolibrary.org/obo/ECO_0007077]
cell-detached outside-out single-channel recording evidence,[http://purl.obolibrary.org/obo/ECO_0005582]
5C evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007235]
genetic transformation evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006049]
gene neighbors evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000354]
"4',6-diamidino-2-phenylindole staining evidence used in automatic assertion",[http://purl.obolibrary.org/obo/ECO_0007378]
radioisotope quantification assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007846]
inference from experimental data evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007293]
nuclear magnetic resonance evidence,[http://purl.obolibrary.org/obo/ECO_0001105]
colorimetric in situ hybridization evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001841]
chromatin immunoprecipitation-qPCR evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007233]
apoptotic assay evidence,[http://purl.obolibrary.org/obo/ECO_0005034]
physical examination evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007447]
visual sequence inspection evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007158]
electrophoretic mobility shift assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001807]
chimeric protein phenotypic evidence,[http://purl.obolibrary.org/obo/ECO_0001024]
nucleic acid localization evidence,[http://purl.obolibrary.org/obo/ECO_0001534]
inference by association of genotype from phenotype used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007191]
peptide affinity enrichment evidence,[http://purl.obolibrary.org/obo/ECO_0001110]
histology evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007389]
fluorescence evidence,[http://purl.obolibrary.org/obo/ECO_0001115]
protein-oligonucleotide microarray binding evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006090]
